context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
benchmark|strict6|random_forest|4|9|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 300}",2722.569318717671,3946092125.0,3471159041,1407083454.0
benchmark|strict6|xgboost|4|9|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",2772.461143326386,1319262168.0,3677846446,4130309806.0
benchmark|strict6|lightgbm|4|9|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 10, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 0.0, ""subsample"": 1.0}",2784.9171233148177,931447206.0,3092052748,366720545.0
benchmark|strict6|stacking|4|9|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 2508766461, ""stack_cv_splits"": 5}",,,2508766461,
scale_nested_et|strict6|Global|4|10|All,extra_trees,450,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",2561.8201438453348,2322050449.0,1665661527,3613656976.0
scale_nested_et|strict6|Global + MI|4|10|All,extra_trees,450,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",2540.3228139574912,693481698.0,1807976732,4106459774.0
scale_nested_et|strict6|Quantile|4|10|Small,extra_trees,152,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",709.673570705128,2363269525.0,2721811004,2452435894.0
scale_nested_et|strict6|Quantile|4|10|Medium,extra_trees,148,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",1589.2529085673814,141683155.0,432003410,3573824757.0
scale_nested_et|strict6|Quantile|4|10|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",5536.095958463462,2753105407.0,2446707757,2215165380.0
scale_nested_et|strict6|Quantile + MI|4|10|Small,extra_trees,152,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",701.0329771377551,1912971060.0,4195966512,454638833.0
