context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
scale_nested_et|strict6|Quantile|1|5|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 300}",800.814898296867,642395531,1485885276,318589722
scale_nested_et|strict6|Quantile|1|5|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 500}",1640.35518653193,3302766642,1127833477,4075135713
scale_nested_et|strict6|Quantile|1|5|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",5568.63319185966,356073490,2819933573,2067739519
scale_nested_et|strict6|Quantile + MI|1|5|Small,extra_trees,150,AFP;Enquiry;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",784.671714893809,3819818614,2202582123,2771048813
scale_nested_et|strict6|Quantile + MI|1|5|Medium,extra_trees,149,AFP;Output;File,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",1632.4842171825,1044070283,3249267304,674354331
scale_nested_et|strict6|Quantile + MI|1|5|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",5621.81981919039,2150611473,1604648710,2061263104
benchmark|strict6|random_forest|1|5|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",2703.04496475509,3793000661,697906490,2969989176
benchmark|strict6|xgboost|1|5|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.9}",2829.70230646257,3856170238,3730681506,2531539941
benchmark|strict6|lightgbm|1|5|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 40, ""n_estimators"": 400, ""num_leaves"": 7, ""reg_lambda"": 5.0, ""subsample"": 0.8}",2912.04383435661,3461420929,2494532964,364361589
benchmark|strict6|stacking|1|5|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 1830573023, ""stack_cv_splits"": 5}",,,1830573023,
scale_nested_et|strict6|Global|1|6|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2527.61721535402,2913147092,4284786540,2977235101
scale_nested_et|strict6|Global + MI|1|6|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",2475.34579051302,4049620928,1061211872,2662008698
scale_nested_et|strict6|Quantile|1|6|Small,extra_trees,151,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",806.090609782117,675612730,4000012742,866649765
scale_nested_et|strict6|Quantile|1|6|Medium,extra_trees,148,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 500}",1516.30256130874,4028596328,3473548290,216301342
scale_nested_et|strict6|Quantile|1|6|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",5086.07366994553,2087918231,3140325293,3854065523
scale_nested_et|strict6|Quantile + MI|1|6|Small,extra_trees,151,AFP;Output;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",752.258132108621,2308493552,98767720,1486375508
scale_nested_et|strict6|Quantile + MI|1|6|Medium,extra_trees,148,AFP;Input;Output,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 300}",1561.01745759507,170600891,1152064655,1857490667
scale_nested_et|strict6|Quantile + MI|1|6|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",4818.44809333333,3764338409,2538127441,3474639896
benchmark|strict6|random_forest|1|6|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 300}",2515.23344134177,841235528,1569452142,3040961436
