family,feature_set,method,metric,estimate_full_precision,ci_2_5,ci_97_5,bootstrap_replicates
scale_fixed_et_sensitivity,uncertain9,Global + MI,MAE,2626.40900351455,2272.94898017987,3006.59217069151,5000
scale_fixed_et_sensitivity,uncertain9,Global + MI,RMSE,4863.43825627614,4001.46968623047,5741.23100021777,5000
scale_fixed_et_sensitivity,uncertain9,Global + MI,Pred25,19.4789579158317,16.3527054108216,22.685370741483,5000
scale_fixed_et_sensitivity,uncertain9,Global + MI,R2,0.435721730080618,0.263497172410271,0.548031890664636,5000
scale_fixed_et_sensitivity,uncertain9,Quantile,MAE,2681.78658019613,2321.8977418376,3066.65074212856,5000
scale_fixed_et_sensitivity,uncertain9,Quantile,RMSE,4975.69287830943,4109.6316527064,5837.36875700704,5000
scale_fixed_et_sensitivity,uncertain9,Quantile,Pred25,19.0781563126253,16.1523046092184,22.2444889779559,5000
scale_fixed_et_sensitivity,uncertain9,Quantile,R2,0.409372526464427,0.23082747757401,0.525265060056826,5000
scale_fixed_et_sensitivity,uncertain9,Quantile + MI,MAE,2681.33878449625,2334.37666191801,3055.16252891685,5000
scale_fixed_et_sensitivity,uncertain9,Quantile + MI,RMSE,4867.13388471251,4040.87130900321,5697.15248227584,5000
scale_fixed_et_sensitivity,uncertain9,Quantile + MI,Pred25,18.3967935871743,15.7114228456914,21.0821643286573,5000
scale_fixed_et_sensitivity,uncertain9,Quantile + MI,R2,0.434863836951132,0.254712761994437,0.548279910833136,5000
scale_nested_et,strict6,Global,MAE,2670.71020733667,2310.3210886,3058.06930243697,5000
scale_nested_et,strict6,Global,RMSE,4963.90577808419,4049.16691392054,5889.44739163938,5000
scale_nested_et,strict6,Global,Pred25,18.7575150300601,15.6713426853707,22.0040080160321,5000
scale_nested_et,strict6,Global,R2,0.412167529847078,0.289863017711555,0.497148110278687,5000
scale_nested_et,strict6,Global + MI,MAE,2674.54064685374,2322.19099309364,3058.13036801589,5000
scale_nested_et,strict6,Global + MI,RMSE,4979.33660560722,4046.62195962011,5944.62324181233,5000
scale_nested_et,strict6,Global + MI,Pred25,20.1603206412826,17.2344689378758,23.127254509018,5000
scale_nested_et,strict6,Global + MI,R2,0.408507170224477,0.280548369681747,0.499720843768296,5000
scale_nested_et,strict6,Quantile,MAE,2673.32842326064,2318.60381285845,3064.72916244281,5000
scale_nested_et,strict6,Quantile,RMSE,4955.18382893233,4043.10539728519,5881.42751333771,5000
scale_nested_et,strict6,Quantile,Pred25,20.2404809619238,17.0741482965932,23.5681362725451,5000
scale_nested_et,strict6,Quantile,R2,0.414231445177127,0.294335323781291,0.498126196836183,5000
scale_nested_et,strict6,Quantile + MI,MAE,2651.46746989174,2298.26116673644,3033.66374082317,5000
scale_nested_et,strict6,Quantile + MI,RMSE,4937.71401678824,4026.14537397717,5876.38407396936,5000
scale_nested_et,strict6,Quantile + MI,Pred25,20.9218436873747,17.7555110220441,24.0881763527054,5000
scale_nested_et,strict6,Quantile + MI,R2,0.418354492052038,0.287575249228783,0.508963537736066,5000
